1 1
31.12.2012 22:00:00.00  3600.0  8.0  -6.0  0.7  2.8e-04  1.5  0.1
#  Startzeit          [h]->[s], wind height, radiation and dimming factors
# Time[h]  GlobRad   NetRad      Temp     RelHum     vWind   dirWind
    1.00      0.00      0.00      3.09     87.86      1.11    228.35
    2.00      0.00      0.00      3.08     84.83      2.04    263.94
    3.00      0.00      0.00      2.95     83.50      0.32     92.26
    4.00      0.00      0.00      3.23     80.17      2.54    211.36
    5.00      0.00      0.00      3.46     77.83      4.62    222.23
    6.00      0.00      0.00      3.33     78.83      1.19    296.81
    7.00      0.00      0.00      3.20     79.50      0.59     28.69
    8.00      0.00      0.00      3.81     77.67      1.31     20.83
    9.00      6.30      6.30      4.21     77.67      1.61      6.40
   10.00     38.88     38.88      4.63     81.83      0.11    355.41
   11.00     83.25     83.25      5.34     89.17      6.06    339.11
   12.00     82.20     82.20      6.10     82.33      1.04    225.88
   13.00     71.48     71.48      6.68     86.33      0.92    316.58
   14.00     41.08     41.08      6.61     91.67      1.14    219.10
   15.00     22.90     22.90      6.31     95.50      0.79     47.72
   16.00     15.37     15.37      6.46     95.50      0.39     11.39
   17.00      1.30      1.30      6.46     95.50      1.33    272.23
   18.00      0.00      0.00      6.25     97.67      5.65    130.85
   19.00      0.00      0.00      6.33     96.50      1.16    274.50
   20.00      0.00      0.00      6.30     94.50      0.09    146.94
   21.00      0.00      0.00      5.88     95.17      1.15    261.39
   22.00      0.00      0.00      4.78     95.50      0.25     43.77
   23.00      0.00      0.00      3.45     98.50      0.28    204.80
   24.00      0.00      0.00      1.91     99.00      1.85    128.57
   25.00      0.00      0.00      0.78    100.00      1.35    300.40
   26.00      0.00      0.00      0.08    100.00      1.34    198.46
   27.00      0.00      0.00     -0.44    100.00      1.15    298.70
   28.00      0.00      0.00     -0.70    100.00      0.99    337.37
   29.00      0.00      0.00     -0.43    100.00      0.79    190.48
   30.00      0.00      0.00      0.64    100.00      0.19     28.90
   31.00      0.00      0.00     -0.14    100.00      1.19      2.79
   32.00      0.00      0.00      0.27    100.00      0.61    148.48
   33.00     14.90     14.90      0.34    100.00      0.77    329.63
   34.00     92.82     92.82      0.81    100.00      0.69    265.27
   35.00    133.60    133.60      1.83    100.00      0.38    304.60
   36.00    174.32    174.32      2.64     98.33      0.14     40.96
   37.00    175.00    175.00      3.38     95.33      1.75    347.97
   38.00    248.55    248.55      4.17     92.17     11.78     17.52
