2 1
31.05.2016 01:00:00.00 3600 7.71604e-08
0.0 0.0 0.0 0.6
1.0 0.0 0.0 0.6
2.0 0.0 0.0 0.6
3.0 0.0 0.0 0.6
4.0 0.0 0.0 0.6
5.0 0.0 0.0 0.6
6.0 0.0 0.0 0.6
7.0 0.0 0.0 0.6
8.0 0.0 0.0 0.6
9.0 0.0 0.0 0.6
10.0 0.0 0.0 0.6
11.0 0.0 0.0 0.6
12.0 0.0 0.0 0.6
13.0 0.0 0.0 0.6
14.0 0.0 0.0 0.6
15.0 0.0 0.0 0.6
16.0 0.0 0.0 0.6
17.0 0.0 0.0 0.6
18.0 0.0 0.0 0.6
19.0 0.0 0.0 0.6
20.0 0.0 0.0 0.6
21.0 0.0 0.0 0.6
22.0 0.0 0.0 0.6
23.0 -0.0046158186 -0.001978208 0.6
24.0 2.7896897e-06 1.1955814e-06 0.6
25.0 5.8936766e-06 2.5258614e-06 0.6
26.0 9.112896e-06 3.905527e-06 0.6
27.0 1.2500047e-05 5.357163e-06 0.6
28.0 1.2546087e-05 5.376895e-06 0.6
29.0 -6.1637434e-06 -2.6416044e-06 0.6
30.0 -0.00010786849 -4.6229354e-05 0.6
31.0 -0.00027639454 -0.00011845481 0.6
32.0 -0.0005060587 -0.00021688231 0.6
33.0 -0.0007567589 -0.00032432526 0.6
34.0 -0.0010878834 -0.00046623574 0.6
35.0 -0.0013537464 -0.00058017706 0.6
36.0 -0.0016989222 -0.00072810956 0.6
37.0 -0.002007743 -0.0008604613 0.6
38.0 -0.0022804462 -0.0009773341 0.6
39.0 -0.002476056 -0.001061167 0.6
40.0 -0.0026074077 -0.0011174605 0.6
41.0 -0.0026790092 -0.0011481468 0.6
42.0 -0.0027174142 -0.0011646061 0.6
43.0 -0.0027380593 -0.0011734541 0.6
44.0 -0.0027559055 -0.0011811024 0.6
45.0 -0.002773527 -0.0011886545 0.6
46.0 -0.0027927405 -0.0011968889 0.6
47.0 -0.0028042858 -0.0012018369 0.6
48.0 -9.842076e-06 -4.2180327e-06 0.6
49.0 -2.22032e-05 -9.515657e-06 0.6
50.0 -3.236095e-05 -1.3868979e-05 0.6
51.0 -3.7990623e-05 -1.6281698e-05 0.6
52.0 -5.1265688e-05 -2.197101e-05 0.6
53.0 -8.6699496e-05 -3.715693e-05 0.6
54.0 -0.0001207979 -5.177053e-05 0.6
55.0 -0.00019338091 -8.287754e-05 0.6
56.0 -0.00029798684 -0.00012770866 0.6
57.0 -0.00045083306 -0.00019321417 0.6
58.0 -0.00065846596 -0.0002821997 0.6
59.0 -0.0008954702 -0.00038377297 0.6
60.0 -0.0011032394 -0.0004728169 0.6
61.0 -0.0012943791 -0.0005547339 0.6
62.0 -0.0015069095 -0.0006458184 0.6
63.0 -0.001677567 -0.00071895734 0.6
64.0 -0.0018138157 -0.00077734963 0.6
65.0 -0.0019106154 -0.0008188352 0.6
66.0 -0.0019478088 -0.0008347752 0.6
67.0 -0.001959698 -0.00083987066 0.6
68.0 -0.0019597076 -0.0008398747 0.6
69.0 -0.0019593833 -0.0008397357 0.6
70.0 -0.0019584922 -0.0008393539 0.6
71.0 -0.001957225 -0.00083881075 0.6
72.0 8.329463e-07 3.56977e-07 0.6
73.0 1.252473e-06 5.3677417e-07 0.6
74.0 3.1897825e-06 1.3670497e-06 0.6
