2 1
31.05.2016 01:00:00.00 3600 2.7777777778e-04
0.0 0.0 0.0 0.6
1.0 0.0 0.0 0.6
2.0 0.0 0.0 0.6
3.0 0.0 0.0 0.6
4.0 0.0 0.0 0.6
5.0 0.0 0.0 0.6
6.0 0.0 0.0 0.6
7.0 0.0 0.0 0.6
8.0 0.0 0.0 0.6
9.0 0.0 0.0 0.6
10.0 0.0 0.0 0.6
11.0 0.0 0.0 0.6
12.0 0.0 0.0 0.6
13.0 0.0 0.0 0.6
14.0 0.0 0.0 0.6
15.0 0.0 0.0 0.6
16.0 0.0 0.0 0.6
17.0 0.0 0.0 0.6
18.0 0.0 0.0 0.6
19.0 0.0 0.0 0.6
20.0 0.0 0.0 0.6
21.0 0.0 0.0 0.6
22.0 0.0 0.0 0.6
23.0 0.0 0.0 0.6
24.0 0.0 3.980225756095024e-06 0.6
25.0 0.0 4.433888079802273e-06 0.6
26.0 0.0 4.6002824092283845e-06 0.6
27.0 0.0 4.837365850107744e-06 0.6
28.0 -1.6734029273379747e-08 8.19011436448136e-08 0.6
29.0 -2.1221589122433215e-05 -5.50590266357176e-06 0.6
30.0 -5.798566417070106e-05 -1.6377111023757607e-05 0.6
31.0 -9.716907516121864e-05 -3.669742727652192e-05 0.6
32.0 -0.00012206922110635787 -6.255025800783187e-05 0.6
33.0 -0.00012172787683084607 -8.221823372878134e-05 0.6
34.0 -0.00014379981439560652 -0.0001505244872532785 0.6
35.0 -0.0001200674450956285 -7.931783329695463e-05 0.6
36.0 -0.0001836279989220202 -8.722540223971009e-05 0.6
37.0 -0.00015139591414481401 -8.740508928894997e-05 0.6
38.0 -0.00013276038225740194 -6.91101886332035e-05 0.6
39.0 -7.33350170776248e-05 -5.645141936838627e-05 0.6
40.0 -5.1044044084846973e-05 -4.4139684177935123e-05 0.6
41.0 -1.5336903743445873e-05 -5.234789568930864e-05 0.6
42.0 -5.605630576610565e-06 -2.5019515305757523e-05 0.6
43.0 -9.278301149606705e-07 -2.0384322851896286e-05 0.6
44.0 -1.5692785382270813e-07 -2.394360490143299e-05 0.6
45.0 0.0 -2.5165732949972153e-05 0.6
46.0 0.0 -2.745375968515873e-05 0.6
47.0 0.0 -1.649465411901474e-05 0.6
48.0 -2.764905415730823e-09 -1.4035760572683742e-05 0.6
49.0 -5.2387871818382337e-11 -1.7658418436372614e-05 0.6
50.0 -4.388394536647411e-09 -1.447436708001959e-05 0.6
51.0 -2.6017357157570586e-08 -7.902389928204911e-06 0.6
52.0 -1.7340150293421175e-07 -1.8562698670621103e-05 0.6
53.0 -1.4720712897542398e-06 -4.811277221961063e-05 0.6
54.0 -2.167682396247983e-06 -4.266307223588228e-05 0.6
55.0 -5.682913524651667e-06 -9.288508090321557e-05 0.6
56.0 -1.3261224921734538e-05 -0.00012165208408987382 0.6
57.0 -4.2435865907464176e-05 -0.00014009352162247524 0.6
58.0 -8.58382263686508e-05 -0.00013407962978817523 0.6
59.0 -0.00013636761286761612 -8.684124622959644e-05 0.6
60.0 -0.0001337205176241696 -5.215074634179473e-05 0.6
61.0 -0.0001278161071240902 -5.171145312488079e-05 0.6
62.0 -0.00011870096204802394 -9.821233106777072e-05 0.6
63.0 -0.00010468135587871075 -4.6656932681798935e-05 0.6
64.0 -8.636206621304154e-05 -2.7656264137476683e-05 0.6
