2 1
02.01.1980 00:00:00.000 1 1.157407408e-05
0 0.0001240662 0.0000531712 0.6
1 0.0001361934 0.0000583686 0.6
2 0.0001884835 0.0000807786 0.6
3 0.0001819246 0.0000779677 0.6
4 0.0001753276 0.0000751404 0.6
5 0.0001751673 0.0000750717 0.6
6 0.0001656824 0.0000710067 0.6
7 0.0001563643 0.0000670133 0.6
8 0.0001320457 0.0000565910 0.6
9 0.0001151141 0.0000493346 0.6
10 0.0001181239 0.0000506245 0.6
11 0.0001163860 0.0000498797 0.6
12 0.0001287148 0.0000551635 0.6
13 0.0001351381 0.0000579163 0.6
14 0.0001454863 0.0000623513 0.6
15 0.0001435618 0.0000615265 0.6
16 0.0001429225 0.0000612525 0.6
17 0.0001588444 0.0000680762 0.6
18 0.0001846796 0.0000791484 0.6
19 0.0002283828 0.0000978783 0.6
20 0.0002267547 0.0000971806 0.6
21 0.0002143894 0.0000918812 0.6
22 0.0002159743 0.0000925604 0.6
23 0.0002074368 0.0000889015 0.6
24 0.0002047775 0.0000877618 0.6
25 0.0001807012 0.0000774434 0.6
26 0.0002114579 0.0000906248 0.6
27 0.0002646250 0.0001134107 0.6
28 0.0003182561 0.0001363955 0.6
29 0.0003519384 0.0001508307 0.6
30 0.0003730657 0.0001598853 0.6
31 0.0004005058 0.0001716453 0.6
32 0.0004302561 0.0001843955 0.6
33 0.0004756804 0.0002038630 0.6
34 0.0004519777 0.0001937047 0.6
35 0.0004420898 0.0001894671 0.6
36 0.0004423257 0.0001895682 0.6
37 0.0004612735 0.0001976886 0.6
38 0.0004714844 0.0002020648 0.6
39 0.0004505791 0.0001931053 0.6
40 0.0004430907 0.0001898960 0.6
41 0.0004287617 0.0001837550 0.6
42 0.0004322627 0.0001852554 0.6
43 0.0004468997 0.0001915284 0.6
44 0.0004983577 0.0002135819 0.6
45 0.0005009395 0.0002146884 0.6
46 0.0004566633 0.0001957128 0.6
47 0.0004626239 0.0001982674 0.6
48 0.0004773286 0.0002045694 0.6
49 0.0004729672 0.0002027002 0.6
50 0.0004822759 0.0002066897 0.6
51 0.0005102193 0.0002186654 0.6
52 0.0005288515 0.0002266506 0.6
53 0.0005282952 0.0002264122 0.6
54 0.0005373671 0.0002303002 0.6
55 0.0005117606 0.0002193260 0.6
56 0.0004619060 0.0001979597 0.6
57 0.0005234953 0.0002243551 0.6
58 0.0006182565 0.0002649671 0.6
59 0.0005938937 0.0002545259 0.6
60 0.0005572762 0.0002388327 0.6
61 0.0005438728 0.0002330884 0.6
62 0.0006277988 0.0002690566 0.6
63 0.0006846117 0.0002934050 0.6
64 0.0007558286 0.0003239265 0.6
65 0.0007098467 0.0003042200 0.6
66 0.0006986451 0.0002994193 0.6
67 0.0007115763 0.0003049613 0.6
68 0.0007448697 0.0003192299 0.6
69 0.0007207841 0.0003089075 0.6
70 0.0007842620 0.0003361123 0.6
71 0.0008163601 0.0003498686 0.6
72 0.0008508760 0.0003646612 0.6
73 0.0008394505 0.0003597645 0.6
74 0.0008806066 0.0003774028 0.6
75 0.0008958305 0.0003839274 0.6
76 0.0008795112 0.0003769334 0.6
77 0.0007597538 0.0003256088 0.6
78 0.0007947198 0.0003405942 0.6
79 0.0009103032 0.0003901300 0.6
80 0.0008697578 0.0003727533 0.6
81 0.0008839378 0.0003788305 0.6
82 0.0009839944 0.0004217119 0.6
83 0.0009740057 0.0004174310 0.6
84 0.0010983789 0.0004707338 0.6
85 0.0012474303 0.0005346130 0.6
86 0.0011227332 0.0004811714 0.6
87 0.0010348837 0.0004435216 0.6
88 0.0010709024 0.0004589582 0.6
89 0.0014639378 0.0006274019 0.6
90 0.0013054899 0.0005594957 0.6
91 0.0011566344 0.0004957004 0.6
92 0.0011191011 0.0004796148 0.6
93 0.0010810406 0.0004633031 0.6
94 0.0011716825 0.0005021496 0.6
95 0.0012727370 0.0005454587 0.6
96 0.0012532369 0.0005371015 0.6
97 0.0011781307 0.0005049132 0.6
98 0.0011990215 0.0005138663 0.6
99 0.0012742416 0.0005461035 0.6
100 0.0014372968 0.0006159843 0.6
101 0.0015507204 0.0006645945 0.6
102 0.0016367886 0.0007014808 0.6
103 0.0017449289 0.0007478267 0.6
104 0.0017906487 0.0007674209 0.6
105 0.0018118255 0.0007764967 0.6
106 0.0016625399 0.0007125171 0.6
107 0.0015227961 0.0006526269 0.6
108 0.0012901388 0.0005529166 0.6
109 0.0013266246 0.0005685534 0.6
110 0.0013469567 0.0005772671 0.6
111 0.0013290794 0.0005696054 0.6
112 0.0014840532 0.0006360228 0.6
113 0.0013305357 0.0005702296 0.6
114 0.0013185112 0.0005650762 0.6
115 0.0014825230 0.0006353670 0.6
116 0.0016339973 0.0007002846 0.6
117 0.0016941386 0.0007260594 0.6
118 0.0018812554 0.0008062523 0.6
119 0.0020177159 0.0008647354 0.6
120 0.0019666791 0.0008428625 0.6
121 0.0018168350 0.0007786436 0.6
122 0.0017062504 0.0007312502 0.6
123 0.0017060159 0.0007311497 0.6
124 0.0019567811 0.0008386205 0.6
125 0.0019856757 0.0008510039 0.6
126 0.0018791937 0.0008053687 0.6
127 0.0018103358 0.0007758582 0.6
128 0.0018639271 0.0007988259 0.6
129 0.0020785267 0.0008907971 0.6
130 0.0022248018 0.0009534865 0.6
131 0.0021820706 0.0009351731 0.6
132 0.0021056978 0.0009024419 0.6
133 0.0019622005 0.0008409431 0.6
134 0.0019571250 0.0008387678 0.6
135 0.0020589759 0.0008824183 0.6
136 0.0021344572 0.0009147674 0.6
137 0.0021970936 0.0009416115 0.6
138 0.0023039200 0.0009873943 0.6
139 0.0023295125 0.0009983625 0.6
140 0.0022064417 0.0009456179 0.6
141 0.0021474370 0.0009203301 0.6
142 0.0020661521 0.0008854938 0.6
143 0.0021228828 0.0009098069 0.6
144 0.0023316893 0.0009992954 0.6
145 0.0023875036 0.0010232158 0.6
146 0.0023514393 0.0010077597 0.6
147 0.0023012657 0.0009862567 0.6
148 0.0021740380 0.0009317306 0.6
149 0.0021627800 0.0009269057 0.6
150 0.0015112570 0.0006476816 0.6
151 0.0016162000 0.0006926571 0.6
152 0.0016674648 0.0007146278 0.6
153 0.0018630255 0.0007984395 0.6
154 0.0019441295 0.0008331984 0.6
155 0.0020012417 0.0008576750 0.6
156 0.0018577892 0.0007961954 0.6
157 0.0018813701 0.0008063015 0.6
158 0.0018840032 0.0008074299 0.6
159 0.0018498523 0.0007927938 0.6
160 0.0018818350 0.0008065007 0.6
161 0.0020145538 0.0008633802 0.6
