02.01.1980 00:00:00.00 86400 1.157407408e-08
# Startzeit   [s] -> [s] [mm/interval] -> [m/s]
    0.000000000     4.393326554
    1.000000000     1.413141705
    2.000000000     5.988501116
    3.000000000     1.696919943
    4.000000000     7.179055548
    5.000000000     0.000000000
   18.000000000     0.000000000
   19.000000000     5.484599671
   20.000000000     5.234291659
   21.000000000     5.504825544
   22.000000000     0.521149905
   23.000000000     0.000000000
   24.000000000     1.069301864
   25.000000000     1.390451766
   26.000000000     0.000000000
   27.000000000     0.000000000
   28.000000000    11.416632614
   29.000000000    10.825872851
   30.000000000     0.571355245
   31.000000000    13.804825668
   32.000000000    17.220739476
   33.000000000     9.816221912
   34.000000000    10.064887214
   35.000000000     2.496817286
   36.000000000     3.258932287
   37.000000000     0.000000000
   38.000000000     0.000000000
   39.000000000     5.087371739
   40.000000000     2.387371699
   41.000000000     0.000000000
   42.000000000     1.246509259
   43.000000000     0.000000000
   44.000000000     4.756570913
   45.000000000     0.000000000
   63.000000000     0.000000000
   64.000000000     7.250102777
   65.000000000     2.050513378
   66.000000000     0.000000000
   67.000000000     0.000000000
   68.000000000     1.724538013
   69.000000000     1.780800848
   70.000000000     1.883059576
   71.000000000     2.351950754
   72.000000000     0.000000000
   78.000000000     0.000000000
   79.000000000     0.564989741
   80.000000000     0.000000000
   82.000000000     0.000000000
   83.000000000     3.505030853
   84.000000000     6.409343011
   85.000000000    10.052156207
   86.000000000     1.729158137
   87.000000000     2.932751584
   88.000000000     0.000000000
   89.000000000    16.962217912
   90.000000000    16.590041315
   91.000000000     3.931622235
   92.000000000     2.915297785
   93.000000000     1.254106795
   94.000000000     0.000000000
   95.000000000     0.000000000
   96.000000000     2.082956910
   97.000000000     2.157597568
   98.000000000     1.566119120
   99.000000000     2.439733096
  100.000000000     0.000000000
  106.000000000     0.000000000
  107.000000000     0.402053394
  108.000000000     1.569199202
  109.000000000     4.542197193
  110.000000000     2.208316255
  111.000000000     2.602566774
  112.000000000     0.239322385
  113.000000000     5.388090429
  114.000000000    12.738911894
  115.000000000     4.498460026
  116.000000000     0.000000000
  117.000000000     0.000000000
  118.000000000     0.042915812
  119.000000000     0.000000000
  120.000000000     0.000000000
  121.000000000    10.585010425
  122.000000000    11.121868749
  123.000000000     0.000000000
  124.000000000     0.000000000
  125.000000000     0.115605751
  126.000000000     0.000000000
  127.000000000    12.259240429
  128.000000000     0.000000000
  136.000000000     0.000000000
  137.000000000     2.798768009
  138.000000000     0.000000000
  145.000000000     0.000000000
  146.000000000     5.675154089
  147.000000000     0.000000000
  148.000000000     3.016221811
  149.000000000     1.999486683
  150.000000000     5.483572977
  151.000000000     5.415400491
  152.000000000     0.000000000
  153.000000000     5.725359428
  154.000000000     0.000000000
  155.000000000     0.000000000
  156.000000000     5.668891255
  157.000000000     6.076694136
  158.000000000     0.000000000
  159.000000000    26.589322778
  160.000000000     2.626078068
  161.000000000     0.000000000
  163.000000000     0.000000000
  164.000000000    15.598768200
  165.000000000     3.754825518
  166.000000000     0.000000000
  167.000000000     1.952361425
  168.000000000     0.000000000
  169.000000000     5.221663322
  170.000000000     0.000000000
  171.000000000     1.709958958
  172.000000000     0.000000000
  173.000000000     2.234086276
  174.000000000     7.582238306
  175.000000000     5.609959016
  176.000000000     3.395893274
  177.000000000     8.829260912
  178.000000000    38.351437943
  179.000000000     6.247638697
  180.000000000     0.000000000
  181.000000000    21.506263154
  182.000000000    17.853491026
  183.000000000     4.610369679
  184.000000000     0.000000000
  185.000000000     2.304106811
  186.000000000     1.144866547
  187.000000000     6.520225970
  188.000000000     6.549794759
  189.000000000     5.316529853
  190.000000000    12.764065899
  191.000000000    16.131519748
  192.000000000     9.331827654
  193.000000000    12.277104906
  194.000000000     9.972279409
  195.000000000    22.780903830
  196.000000000     0.000000000
  197.000000000     0.000000000
  198.000000000    10.106262984
  199.000000000    23.533059899
  200.000000000    11.026078193
  201.000000000     7.284805037
  202.000000000     0.000000000
  208.000000000     0.000000000
  209.000000000    11.613552534
  210.000000000     0.015708419
  211.000000000     0.000000000
  213.000000000     0.000000000
  214.000000000     0.898562642
  215.000000000     0.000000000
  217.000000000     0.000000000
  218.000000000     0.618788510
  219.000000000     9.370020674
  220.000000000     0.079671459
  221.000000000     0.000000000
